Date,Team,Acquired,Relinquished,Notes
2014-03-05, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-05, Grizzlies, ,Zach Randolph, flu (DNP)
2014-03-05, Hawks, ,Paul Millsap, bruised right knee (DNP)
2014-03-05, Magic, ,Victor Oladipo, sore left ankle (DNP)
2014-03-05, Nets, ,Kevin Garnett, back spasms (DNP)
2014-03-05, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-05, Pacers, ,C.J. Watson, right elbow injury (DNP)
2014-03-05, Pistons, ,Peyton Siva, sprained left ankle (DNP)
2014-03-05, Suns, ,Leandro Barbosa, fractured left hand (out for season)
2014-03-05, Wizards, ,Martell Webster, sore back (DNP)
2014-03-06, Clippers, ,Jamal Crawford, strained left calf (DNP)
2014-03-06, Clippers, ,Jared Dudley, back spasms (DNP)
2014-03-06, Lakers, ,Jordan Hill, sore right knee (DNP)
2014-03-06, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-03-06, Suns, ,Miles Plumlee, sprained right knee (DNP)
2014-03-07, Bobcats, ,Gerald Henderson Jr., strained right calf (DNP)
2014-03-07, Bucks, ,Ekpe Udoh, swelling in right knee (DNP)
2014-03-07, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-03-07, Celtics, ,Gerald Wallace," recovering from arthroscopic surgery on left knee to repair torn meniscus, and ankle (DNP)"
2014-03-07, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-07, Lakers, ,Jordan Hill, sore right knee (DNP)
2014-03-07, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-03-07, Nets, ,Kevin Garnett, rest (DNP)
2014-03-07, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-07, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-03-07, Pistons, ,Peyton Siva, sprained left ankle (DNP)
2014-03-08, 76ers, ,Lorenzo Brown, sore right foot (DNP)
2014-03-08, Bobcats, ,Gerald Henderson Jr., strained right calf (DNP)
2014-03-08, Bucks, ,Ekpe Udoh, swelling in right knee (DNP)
2014-03-08, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-03-08, Clippers, ,Jared Dudley, back spasms (DNP)
2014-03-09, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-09, Lakers, ,Jordan Hill, sore right knee (DNP)
2014-03-09, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-09, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-03-09, Pistons, ,Peyton Siva, sprained left ankle (DNP)
2014-03-09, Celtics, ,Avery Bradley, sore right ankle (DNP)
2014-03-10, 76ers, ,Lorenzo Brown, sore right foot (DNP)
2014-03-10, Bobcats, ,Gerald Henderson Jr., strained right calf (DNP)
2014-03-10, Bucks, ,Ekpe Udoh, swelling in right knee (DNP)
2014-03-10, Cavaliers, ,Anthony Bennett, strained left knee (out indefinitely)
2014-03-10, Clippers, ,Jamal Crawford, strained left calf (DNP)
2014-03-10, Clippers, ,Jared Dudley, back spasms (DNP)
2014-03-10, Nets, ,Kevin Garnett, back injury (DNP)
2014-03-10, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-11, Bucks, ,Ersan Ilyasova, right ankle injury (DNP)
2014-03-11, Celtics, ,Avery Bradley, sore left ankle (DNP)
2014-03-11, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-11, Pistons, ,Peyton Siva, sprained left ankle (DNP)
2014-03-12, 76ers, ,Lorenzo Brown, sore right foot (DNP)
2014-03-12, Blazers, ,Maurice Williams / Mo Williams, strained right hip (DNP)
2014-03-12, Cavaliers, ,Anthony Bennett, strained patellar tendon in left knee (DNP)
2014-03-12, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-03-12, Celtics, ,Avery Bradley, sore right ankle (DNP)
2014-03-12, Celtics, ,Rajon Rondo, rest (DNP)
2014-03-12, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-12, Clippers, ,Jamal Crawford, strained left calf (DNP)
2014-03-12, Knicks, ,Amare Stoudemire / Amar'e Stoudemire, rest (DNP)
2014-03-12, Nets, ,Kevin Garnett, back injury (DNP)
2014-03-12, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-12, Pelicans, ,Eric Gordon, illness (DNP)
2014-03-12, Pelicans, ,Tyreke Evans, illness (DNP)
2014-03-12, Pistons, ,Peyton Siva, sprained left ankle (DNP)
2014-03-13, Blazers, ,LaMarcus Aldridge, bruised lower back (DTD)
2014-03-13, Lakers, ,Jordan Hill, sore right knee (DNP)
2014-03-13, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-03-14, Blazers, ,LaMarcus Aldridge, bruised lower back (DNP)
2014-03-14, Blazers, ,Maurice Williams / Mo Williams, strained right hip (DNP)
2014-03-14, Cavaliers, ,Anthony Bennett, strained patellar tendon in left knee (DNP)
2014-03-14, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-14, Clippers, ,Jamal Crawford, strained left calf (DNP)
2014-03-14, Lakers, ,Jordan Hill, sore right knee (DNP)
2014-03-14, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-03-14, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-14, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-03-15, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-15, Pistons, ,Peyton Siva, sprained left ankle (DNP)
2014-03-16, Bucks, ,Ersan Ilyasova, right ankle injury (DNP)
2014-03-16, Cavaliers, ,Anthony Bennett, strained patellar tendon in left knee (DNP)
2014-03-16, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-16, Clippers, ,Darren Collison, stomach virus (DNP)
2014-03-16, Clippers, ,Jamal Crawford, strained left calf (DNP)
2014-03-16, Kings, ,DeMarcus Cousins, right knee tendinitis (DNP)
2014-03-16, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-03-16, Thunder, ,Russell Westbrook, rest (DNP)
2014-03-16, Timberwolves, ,Nikola Pekovic, sore right ankle (DNP)
2014-03-17, 76ers, ,James Anderson, bruised right quadriceps (DNP)
2014-03-17, Bulls, ,Tornike Shengelia, flu (DNP)
2014-03-17, Cavaliers, ,Kyrie Irving, strained left bicep (out indefinitely)
2014-03-17, Celtics, ,Rajon Rondo, knee injury / rest (DNP)
2014-03-17, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-17, Clippers, ,Darren Collison, stomach virus (DNP)
2014-03-17, Clippers, ,Jamal Crawford, strained left calf (DNP)
2014-03-17, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-17, Rockets, ,Dwight Howard, sprained left ankle (DNP)
2014-03-17, Rockets, ,Omri Casspi, flu (DNP)
2014-03-18, Cavaliers, ,Luol Deng, sprained left ankle (DNP)
2014-03-19, 76ers, ,James Anderson, bruised right quadriceps (DNP)
2014-03-19, Bulls, ,Tornike Shengelia, flu (DNP)
2014-03-19, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-19, Lakers, ,Jordan Farmar, strained right groin (DNP)
2014-03-19, Lakers, ,Jordan Hill, sore right knee (DNP)
2014-03-19, Lakers, ,Nick Young, fractured patella in left knee (DNP)
2014-03-19, Magic, ,Jameer Nelson, sore left knee (DNP)
2014-03-19, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-19, Nuggets, ,Ty Lawson, sinus infection (DNP)
2014-03-19, Nuggets, ,Wilson Chandler, strained left hip (DNP)
2014-03-19, Pelicans, ,Anthony Davis, upper respiratory infection (DNP)
2014-03-19, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-03-19, Pistons, ,Andre Drummond, strained neck (DNP)
2014-03-19, Pistons, ,Peyton Siva, sprained left ankle (DNP)
2014-03-19, Timberwolves, ,Nikola Pekovic, sore right ankle (DNP)
2014-03-20, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-03-20, Cavaliers, ,Luol Deng, sprained left ankle (DNP)
2014-03-20, Cavaliers, ,Sergey Karasev, patellar tendinitis in right knee (DNP)
2014-03-20, Kings, ,Carl Landry, arthroscopic surgery on right knee to repair torn medial menuscus (out for season)
2014-03-20, Rockets, ,Dwight Howard, sprained left ankle (DNP)
2014-03-20, Thunder, ,Russell Westbrook, rest / knee injury (DNP)
2014-03-20, Timberwolves, ,Nikola Pekovic, sore right ankle (DNP)
2014-03-20, Wizards, ,Marcin Gortat, sore back (DNP)
2014-03-21, Bulls, ,Tornike Shengelia, flu (DNP)
2014-03-21, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-21, Hawks, ,Kyle Korver, back spasms (DNP)
2014-03-21, Kings, ,Quincy Acy, sprained right ankle (DNP)
2014-03-21, Lakers, ,Chris Kaman, sore right foot (DNP)
2014-03-21, Lakers, ,Wesley Johnson / Wes Johnson, upper respiratory infection (DNP)
2014-03-21, Pistons, ,Peyton Siva, sprained left ankle (DNP)
2014-03-22, 76ers, ,Tony Wroten Jr., sprained right ankle (DNP)
2014-03-22, Bucks, ,Nate Wolters, fractured left hand (out indefinitely)
2014-03-22, Bulls, ,Tornike Shengelia, flu (DNP)
2014-03-22, Cavaliers, ,Anthony Bennett, strained patellar tendon in left knee (DNP)
2014-03-22, Cavaliers, ,Luol Deng, sprained left ankle (DNP)
2014-03-22, Cavaliers, ,Sergey Karasev, patellar tendinitis in right knee (DNP)
2014-03-22, Lakers, ,Xavier Henry, torn ligament in left wrist (out indefinitely)
2014-03-22, Magic, ,Jameer Nelson, sore left knee (DNP)
2014-03-22, Mavericks, ,Gal Mekel, knee injury (DTD)
2014-03-22, Nuggets, ,J.J. Hickson, torn ACL in right knee (out indefinitely)
2014-03-22, Pelicans, ,Eric Gordon, left knee tendinitis (DNP)
2014-03-22, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-03-22, Pistons, ,Peyton Siva, sprained left ankle (DNP)
2014-03-22, Rockets, ,Dwight Howard, sprained left ankle (DNP)
2014-03-22, Spurs, ,Matt Bonner, strained right calf (DNP)
2014-03-23, Bucks, ,Nate Wolters, fractured left hand (DNP)
2014-03-23, Cavaliers, ,Anthony Bennett, strained patellar tendon in left knee (DNP)
2014-03-23, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-03-23, Cavaliers, ,Sergey Karasev, patellar tendinitis in right knee (DNP)
2014-03-23, Hawks, ,Kyle Korver, back spasms (DNP)
2014-03-23, Kings, ,Quincy Acy, sprained right ankle (DNP)
2014-03-23, Knicks, ,Iman Shumpert, illness (DNP)
2014-03-23, Lakers, ,Chris Kaman, sore right foot (DNP)
2014-03-23, Lakers, ,Steve Nash, nerve root irritation (DNP)
2014-03-23, Lakers, ,Xavier Henry, torn ligament in left wrist (DNP)
2014-03-23, Magic, ,Jameer Nelson, sore left knee (DNP)
2014-03-23, Mavericks, ,Gal Mekel, knee injury (DNP)
2014-03-23, Nuggets, ,J.J. Hickson, torn ACL in right knee (DNP)
2014-03-23, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-23, Nuggets, ,Wilson Chandler, strained left hip/groin (DNP)
2014-03-23, Timberwolves, ,Nikola Pekovic, sore right ankle (DNP)
2014-03-24, 76ers, ,Tony Wroten Jr., sprained right ankle (DNP)
2014-03-24, Bucks, ,Ersan Ilyasova, right ankle injury (DNP)
2014-03-24, Bucks, ,Nate Wolters, fractured left hand (DNP)
2014-03-24, Grizzlies, ,Tony Allen, stomach virus (DNP)
2014-03-24, Hawks, ,Kyle Korver, back spasms (DNP)
2014-03-24, Heat, ,Dwyane Wade, ankle injury (DNP)
2014-03-24, Nets, ,Andrei Kirilenko, sprained left ankle (DNP)
2014-03-24, Nuggets, ,J.J. Hickson, torn ACL in right knee (DNP)
2014-03-24, Nuggets, ,Jan Vesely, bruised left rib (DTD)
2014-03-24, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-24, Nuggets, ,Wilson Chandler, strained left groin (DNP)
2014-03-24, Pelicans, ,Eric Gordon, left knee tendinitis (DNP)
2014-03-24, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-03-24, Pistons, ,Charlie Villanueva, sore back (DNP)
2014-03-24, Spurs, ,(William) Tony Parker, left Achilles injury (DNP)
2014-03-24, Spurs, ,Danny Green, foot injury (DNP)
2014-03-24, Thunder, ,Russell Westbrook, rest / knee injury (DNP)
2014-03-24, Timberwolves, ,Jose Juan Barea / Jose Barea / J.J. Barea, sprained left foot (DNP)
2014-03-24, Timberwolves, ,Nikola Pekovic, sore right ankle (DNP)
2014-03-25, Cavaliers, ,Anthony Bennett, strained patellar tendon in left knee (DNP)
2014-03-25, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-03-25, Cavaliers, ,Sergey Karasev, patellar tendinitis in right knee (DNP)
2014-03-25, Lakers, ,Pau Gasol, vertigo (DNP)
2014-03-25, Lakers, ,Steve Nash, nerve root irritation (DNP)
2014-03-25, Magic, ,Jameer Nelson, sore left knee (DNP)
2014-03-25, Mavericks, ,Gal Mekel, knee injury (DNP)
2014-03-25, Nuggets, ,J.J. Hickson, surgery on right knee to repair torn ACL (out indefinitely)
2014-03-26, Bobcats, ,Gary Neal, sprained left ankle (DNP)
2014-03-26, Cavaliers, ,Anthony Bennett, strained patellar tendon in left knee (DNP)
2014-03-26, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-03-26, Cavaliers, ,Sergey Karasev, patellar tendinitis in right knee (DNP)
2014-03-26, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-26, Hawks, ,Kyle Korver, back spasms (DNP)
2014-03-26, Heat, ,Ray Allen, illness (DTD)
2014-03-26, Kings, ,Isaiah Thomas, bruised right quadriceps (DNP)
2014-03-26, Nets, ,Andrei Kirilenko, sprained left ankle (DNP)
2014-03-26, Nets, ,Marcus Thornton (T.), back injury (DNP)
2014-03-26, Nuggets, ,J.J. Hickson, recovering from surgery on right knee to repair torn ACL (DNP)
2014-03-26, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-26, Nuggets, ,Wilson Chandler, strained left groin (DNP)
2014-03-26, Pelicans, ,Austin Rivers, illness (DNP)
2014-03-26, Pelicans, ,Brian Roberts, bone bruise in left knee (DNP)
2014-03-26, Pistons, ,Charlie Villanueva, sore back (DNP)
2014-03-26, Timberwolves, ,Nikola Pekovic, sore right ankle (DNP)
2014-03-27, 76ers, ,Tony Wroten Jr., sprained right ankle (DNP)
2014-03-27, Bucks, ,Ersan Ilyasova, right ankle injury (DNP)
2014-03-27, Bucks, ,Nate Wolters, fractured left hand (DNP)
2014-03-27, Bucks, ,O.J. Mayo, sprained right ankle (DNP)
2014-03-27, Hawks, ,Kyle Korver, back spasms (DNP)
2014-03-27, Hawks, ,Pero Antic, sprained right ankle (DNP)
2014-03-27, Lakers, ,Pau Gasol, vertigo (DNP)
2014-03-27, Lakers, ,Steve Nash, nerve root irritation (DNP)
2014-03-27, Mavericks, ,Gal Mekel, knee injury (DNP)
2014-03-28, Bobcats, ,Gary Neal, sprained left ankle (DNP)
2014-03-28, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-03-28, Cavaliers, ,Sergey Karasev, patellar tendinitis in right knee (DNP)
2014-03-28, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-28, Heat, ,Mario Chalmers, bruised right quadricap (DNP)
2014-03-28, Kings, ,Derrick Williams, illness (DNP)
2014-03-28, Lakers, ,Pau Gasol, vertigo (DNP)
2014-03-28, Lakers, ,Xavier Henry, sore right knee (DNP)
2014-03-28, Nets, ,Andrei Kirilenko, sprained left ankle (DNP)
2014-03-28, Nuggets, ,J.J. Hickson, recovering from surgery on right knee to repair torn ACL (DNP)
2014-03-28, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-28, Nuggets, ,Wilson Chandler, strained left groin (DNP)
2014-03-28, Nuggets,Jan Vesely, , returned to lineup
2014-03-28, Pelicans, ,Brian Roberts, bone bruise in left knee (DNP)
2014-03-28, Pelicans, ,Eric Gordon, left knee tendinitis (DNP)
2014-03-28, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-03-28, Pistons, ,Charlie Villanueva, sore back (DNP)
2014-03-28, Rockets, ,Patrick Beverley, right knee injury (DTD) (CBC) / torn meniscus in right knee (out indefinitely)
2014-03-28, Spurs, ,Danny Green, right foot inflammation (DNP)
2014-03-28, Thunder, ,Reggie Jackson (Shon), back spasms (DNP)
2014-03-28, Warriors, ,David Lee, strained right hamstring (DNP)
2014-03-28, Heat, ,Dwyane Wade, strained left hamstring (DNP)
2014-03-29, 76ers, ,Byron Mullens / B.J. Mullens, sprained left ankle (DNP)
2014-03-29, Bucks, ,Ersan Ilyasova, right ankle injury (DNP)
2014-03-29, Bucks, ,Nate Wolters, fractured left hand (DNP)
2014-03-29, Bucks, ,O.J. Mayo, sprained right ankle (DNP)
2014-03-29, Clippers, ,Danny Granger, strained left hamstring (DNP)
2014-03-29, Hawks, ,DeMarre Carroll, stomach virus (DNP)
2014-03-29, Hawks, ,Kyle Korver, back spasms (DNP)
2014-03-29, Heat, ,Dwyane Wade, strained left hamstring (DNP)
2014-03-29, Heat, ,Mario Chalmers, bruised right quadricap (DNP)
2014-03-29, Kings, ,Isaiah Thomas, bruised right quadriceps (DNP)
2014-03-29, Mavericks, ,Gal Mekel, knee injury (DNP)
2014-03-29, Pelicans, ,Anthony Davis, left ankle injury (DNP)
2014-03-29, Pelicans, ,Eric Gordon, left knee tendinitis (DNP)
2014-03-29, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-03-29, Pistons, ,Charlie Villanueva, sore back (DNP)
2014-03-29, Rockets, ,Dwight Howard, sprained left ankle (DNP)
2014-03-29, Rockets, ,Patrick Beverley, torn meniscus in right knee / sprained right knee (P) (DNP)
2014-03-29, Spurs, ,Danny Green, right foot inflammation (DNP)
2014-03-30, Cavaliers, ,Anthony Bennett, strained patellar tendon in left knee (DNP)
2014-03-30, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-03-30, Cavaliers, ,Sergey Karasev, patellar tendinitis in right knee (DNP)
2014-03-30, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-30, Lakers, ,Pau Gasol, vertigo (DNP)
2014-03-30, Lakers, ,Steve Nash, nerve root irritation (DNP)
2014-03-30, Lakers, ,Xavier Henry, torn ligament in left wrist / knee injury (CBC) (DNP)
2014-03-30, Nets, ,Andrei Kirilenko, sprained left ankle (DNP)
2014-03-30, Thunder, ,Reggie Jackson (Shon), back spasms (DNP)
2014-03-30, Warriors, ,Andrew Bogut, bruised pelvis (DNP)
2014-03-30, Warriors, ,David Lee, strained right hamstring (DNP)
2014-03-31, 76ers, ,Byron Mullens / B.J. Mullens, sprained left ankle (DNP)
2014-03-31, Bucks, ,Ersan Ilyasova, right ankle injury (DNP)
2014-03-31, Bucks, ,Nate Wolters, fractured left hand (DNP)
2014-03-31, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-03-31, Clippers, ,Blake Griffin, back spasms (DNP)
2014-03-31, Clippers, ,Danny Granger, strained left hamstring (DNP)
2014-03-31, Clippers, ,Jamal Crawford, left calf injury (DNP)
2014-03-31, Heat, ,Dwyane Wade, strained left hamstring (DNP)
2014-03-31, Kings, ,Aaron Gray, illness (DNP)
2014-03-31, Kings, ,Isaiah Thomas, bruised right quadriceps (DNP)
2014-03-31, Knicks, ,Amare Stoudemire / Amar'e Stoudemire, knee injury (DNP)
2014-03-31, Knicks, ,Toure' Murry / Toure Murry, stomach virus (DNP)
2014-03-31, Nuggets, ,J.J. Hickson, recovering from surgery on right knee to repair torn ACL (DNP)
2014-03-31, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-03-31, Nuggets, ,Wilson Chandler, strained left groin (DNP)
2014-03-31, Pelicans, ,Eric Gordon, left knee tendinitis (DNP)
2014-03-31, Pelicans, ,Jason Smith, right knee injury (DNP)
2014-03-31, Spurs, ,Aron Baynes, sprained right foot / rib injury (DNP)
2014-04-01, Mavericks, ,Gal Mekel, knee injury (DNP)
2014-04-01, Nets, ,Andrei Kirilenko, sprained left ankle (DNP)
2014-04-01, Nets, ,Marcus Thornton (T.), back injury (DNP)
2014-04-01, Rockets, ,Dwight Howard, sprained left ankle (DNP)
2014-04-01, Rockets, ,Patrick Beverley, sprained right knee (DNP)
2014-04-01, Rockets, ,Terrence Jones, flu (DNP)
2014-04-01, Warriors, ,Andrew Bogut, bruised pelvis (DNP)
2014-04-01, Warriors, ,David Lee, strained right hamstring (DNP)
2014-04-02, 76ers, ,Byron Mullens / B.J. Mullens, sprained left ankle (DNP)
2014-04-02, Bobcats, ,Josh McRoberts, sprained left ankle (DNP)
2014-04-02, Bucks, ,Ersan Ilyasova, right ankle injury (DNP)
2014-04-02, Bucks, ,Nate Wolters, fractured left hand (DNP)
2014-04-02, Bucks, ,O.J. Mayo, sprained right ankle (DNP)
2014-04-02, Cavaliers, ,Anderson Varejao, sprained AC joint in right shoulder (DNP)
2014-04-02, Cavaliers, ,Anthony Bennett, strained patellar tendon in left knee (DNP)
2014-04-02, Cavaliers, ,C.J. Miles, sprained left ankle (DNP)
2014-04-02, Celtics, ,Avery Bradley, strained right Achilles tendon (DNP)
2014-04-02, Celtics, ,Vitor Faverani, knee injury (DNP)
2014-04-02, Clippers, ,Danny Granger, strained left hamstring (DNP)
2014-04-02, Clippers, ,Jamal Crawford, left calf injury (DNP)
2014-04-02, Kings, ,Aaron Gray, stomach illness (DNP)
2014-04-02, Kings, ,Isaiah Thomas, bruised right quadriceps (DNP)
2014-04-02, Lakers, ,Chris Kaman, sore right calf (DNP)
2014-04-02, Lakers, ,Pau Gasol, vertigo (DNP)
2014-04-02, Lakers, ,Steve Nash, sprained ankle / nerve root irritation (DNP)
2014-04-02, Lakers, ,Xavier Henry, torn ligament in left wrist (DNP)
2014-04-02, Nets, ,Andrei Kirilenko, sprained left ankle (DNP)
2014-04-02, Nuggets, ,J.J. Hickson, recovering from surgery on right knee to repair torn ACL (DNP)
2014-04-02, Nuggets, ,Nate Robinson, recovering from surgery on left knee to repair torn ACL (DNP)
2014-04-02, Nuggets, ,Wilson Chandler, strained left groin (DNP)
2014-04-02, Pacers, ,Solomon Hill, sore back (DNP)
